                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7563,                 3.8358,                 1.7339,                 0.7222,                0.39721,                0.49733,                0.32646,                0.91804,                 3.3965,                 1.1352,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.2908,                 1.8126,                 1.2585,                0.58492,                0.51023,                0.58565,                0.40794,                 1.0796,                  2.574,                 1.1789,             0.00051165,             0.00051165,             0.00051165
                      2,                 1.2578,                 1.4697,                 1.2233,                0.72244,                0.68588,                0.77924,                0.51494,                 1.1002,                 1.9053,                 1.1945,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.2516,                 1.2233,                 1.2201,                0.45357,                0.74916,                0.58155,                 0.3599,                 1.2955,                 3.4567,                 1.3828,               0.001019,               0.001019,               0.001019
                      4,                 1.3584,                  1.397,                 1.2812,                0.51034,                0.66946,                 0.6142,                0.28484,                 1.4875,                 2.5278,                 1.6165,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.3903,                 1.3376,                 1.3711,                  0.594,                0.68555,                 0.6348,                0.35809,                 1.4423,                 4.1186,                 1.6609,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.3388,                 1.2858,                 1.3298,                0.56834,                0.54223,                0.59241,                0.32726,                 1.4881,                 3.3447,                 1.8484,               0.001568,               0.001568,               0.001568
                      7,                 1.3824,                 1.3331,                 1.4081,                 0.1179,                0.30903,                0.11001,                0.04998,                 1.6329,                 8.7026,                 2.3064,               0.001568,               0.001568,               0.001568
                      8,                 1.3712,                 1.2221,                   1.36,                0.17751,                0.23986,                0.12185,                0.06397,                  1.795,                 6.8084,                  2.112,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3869,                  1.293,                 1.3927,                0.52166,                0.57517,                0.52833,                0.25133,                 1.5319,                 2.9764,                 1.7928,               0.001535,               0.001535,               0.001535
                     10,                 1.3526,                 1.2595,                 1.3826,                 0.4658,                0.64189,                0.53413,                0.30694,                 1.4785,                 3.8182,                 1.7821,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3744,                 1.1461,                 1.3623,                0.55081,                0.70204,                0.66187,                0.39859,                 1.4672,                 2.6373,                  1.558,               0.001502,               0.001502,               0.001502
                     12,                 1.2256,                 1.0351,                 1.2124,                0.74795,                0.85811,                0.87838,                0.61825,                 1.0677,                 2.4468,                  1.227,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1715,                0.98048,                 1.2197,                0.82214,                0.87838,                0.89671,                0.63416,                0.96752,                 1.5862,                 1.1576,               0.001469,               0.001469,               0.001469
                     14,                 1.1737,                0.95865,                 1.2536,                0.83808,                 0.8674,                0.91274,                0.62811,                 1.0844,                 1.1656,                 1.2252,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1829,                0.96325,                 1.2343,                0.85403,                0.88889,                0.93909,                0.65116,                 1.0926,                 1.1186,                  1.184,               0.001436,               0.001436,               0.001436
                     16,                 1.2499,                0.98321,                  1.269,                0.86311,                0.86359,                0.95103,                0.66739,                 1.0466,                  1.049,                 1.1639,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2155,                 0.9463,                 1.2342,                0.78286,                0.72599,                0.90634,                0.64291,                 1.0484,                 1.5656,                 1.1946,              0.0014029,              0.0014029,              0.0014029
